language	iso_code	concept	global_id	local_id	asjp	cogid	tokens	notes
SIAMESE	tha	I	1209	1	ku	1	k u	
ZHUANG_SOUTHERN	zzj	I	1209	1	kau	2	k a u	
ZHUANG_NORTHERN	zgn	I	1209	1	kou	2	k o u	
SAEK	skb	I	1209	1	ku	2	k u	
SUI	swi	I	1209	1	yu	2	y u	
MULAO	mlm	I	1209	1	h3i	3	h 3 i	
KAM_ZHANGLU	doc	I	1209	1	yau	2	y a u	
MAONAN	mmd	I	1209	1	"h""e"	2	"h"" e"	
ONG_BE	onb	I	1209	1	hau	2	h a u	
LAKKJA	lbc	I	1209	1	ci	4	c i	
LI_TONGSHI	lic	I	1209	1	hou	2	h o u	
LI_BAODING	lic	I	1209	1	hou	2	h o u	
SIAMESE	tha	come	1446	66	ma	1	m a	
ZHUANG_SOUTHERN	zzj	come	1446	66	ma	1	m a	
SAEK	skb	come	1446	66	ma	1	m a	
KAM_ZHANGLU	doc	come	1446	66	ma	1	m a	
ONG_BE	onb	come	1446	66	nia	1	n i a	
SIAMESE	tha	water	948	75	nam	1	n a m	
ZHUANG_SOUTHERN	zzj	water	948	75	nam	1	n a m	
ZHUANG_NORTHERN	zgn	water	948	75	xam	1	x a m	
SAEK	skb	water	948	75	nam	1	n a m	
SUI	swi	water	948	75	nam	1	n a m	
MULAO	mlm	water	948	75	n3m	1	n 3 m	
KAM_ZHANGLU	doc	water	948	75	nam	1	n a m	
MAONAN	mmd	water	948	75	nam	1	n a m	
ONG_BE	onb	water	948	75	nam	1	n a m	
LAKKJA	lbc	water	948	75	num	1	n u m	
LI_TONGSHI	lic	water	948	75	nam	1	n a m	
LI_BAODING	lic	water	948	75	nom	1	n o m	
SIAMESE	tha	mountain	639	86	ph~u	1	ph~ u	also: doy
ZHUANG_SOUTHERN	zzj	mountain	639	86	doN	3	d o N	
SUI	swi	mountain	639	86	nu	4	n u	
MULAO	mlm	mountain	639	86	px~a	5	px~ a	
KAM_ZHANGLU	doc	mountain	639	86	t3n	6	t 3 n	
MAONAN	mmd	mountain	639	86	koNpy~a	5	k o N py~ a	
ONG_BE	onb	mountain	639	86	tia	7	t i a	
LAKKJA	lbc	mountain	639	86	ky~a	7	ky~ a	
LI_TONGSHI	lic	mountain	639	86	hw~ou	8	hw~ o u	
LI_BAODING	lic	mountain	639	86	go	8	g o	
