language	iso_code	concept	global_id	local_id	asjp	cogid	tokens	notes
TRING	kms	I	1209	1	Ne	1	N e	
WAU	kms	I	1209	1	Ne	1	N e	
KAMASAU	kms	I	1209	1	Ne	1	N e	
YIBAB	kms	I	1209	1	Ne	1	N e	
WANDOMI	kms	I	1209	1	Ne	1	N e	
KENYARI	kms	I	1209	1	Nebi	1	N e b i	
SAMAP	ele	I	1209	1	Na	1	N a	
TRING	kms	come	1446	66	mandi	1	m a n d i	"=""they come"""
WAU	kms	come	1446	66	mandi	1	m a n d i	"= ""they come"""
KAMASAU	kms	come	1446	66	mandi	1	m a n d i	"= ""they come"""
YIBAB	kms	come	1446	66	mandi	1	m a n d i	"= ""they come"""
WANDOMI	kms	come	1446	66	mandi	1	m a n d i	"= ""they come"""
KENYARI	kms	come	1446	66	mandi	1	m a n d i	"= ""they come"""
PARUWA	kms	come	1446	66	mandi	1	m a n d i	"= ""they come"""
SAMAP	ele	come	1446	66	maN	1	m a N	"= ""they come"""
TRING	kms	water	948	75	wiye	1	w i y e	
WAU	kms	water	948	75	wiye	1	w i y e	
KAMASAU	kms	water	948	75	wiye	1	w i y e	
YIBAB	kms	water	948	75	wiye	1	w i y e	
WANDOMI	kms	water	948	75	wiye	1	w i y e	
KENYARI	kms	water	948	75	wiye	1	w i y e	
PARUWA	kms	water	948	75	wiye	1	w i y e	
SAMAP	ele	water	948	75	wiye	1	w i y e	
TRING	kms	mountain	639	86	rand	1	r a n d	
WAU	kms	mountain	639	86	rand	1	r a n d	
KAMASAU	kms	mountain	639	86	rand	1	r a n d	
YIBAB	kms	mountain	639	86	rand	1	r a n d	
WANDOMI	kms	mountain	639	86	randig	1	r a n d i g	
KENYARI	kms	mountain	639	86	randi	1	r a n d i	
SAMAP	ele	mountain	639	86	paNg	2	p a N g	
TRING	kms	sun	1343	72	Ni5	1	N i 5	
WAU	kms	sun	1343	72	Ni5	1	N i 5	
KAMASAU	kms	sun	1343	72	bogi	2	b o g i	
YIBAB	kms	sun	1343	72	Ni5	1	N i 5	
WANDOMI	kms	sun	1343	72	gi5	1	g i 5	
KENYARI	kms	sun	1343	72	Ni5	1	N i 5	
PARUWA	kms	sun	1343	72	Neni	1	N e n i	
SAMAP	ele	sun	1343	72	bwog	2	b w o g	
TRING	kms	star	1430	74	tomiNgi	1	t o m i N g i	
WAU	kms	star	1430	74	tomiNgi	1	t o m i N g i	
