language	iso_code	concept	global_id	local_id	asjp	cogid	tokens	notes
BURMESE	mya	I	1209	1	kyw$antau	1	kyw$ a n t a u	
ZAIWA	atb	I	1209	1	No	2	N o	
AKHA	ahk	I	1209	1	Na	2	N a	
BIYUE	byo	I	1209	1	Na	2	N a	
MPI	mpz	I	1209	1	No	2	N o	
BISU	bzi	I	1209	1	ga	2	g a	
JINO	jiu	I	1209	1	No	2	N o	
LAHU	lhu	I	1209	1	Na	2	N a	
XIDE	iii	I	1209	1	Na	2	N a	
DAFANG	yig	I	1209	1	No	2	N o	
NANJIANG	ywt	I	1209	1	No	2	N o	
LISU	lis	I	1209	1	Nua	2	N u a	
NUSU	nuf	I	1209	1	Na	2	N a	
ACHANG	acn	I	1209	1	No	2	N o	
NAXI	nbf	I	1209	1	N3	2	N 3	
BURMESE	mya	come	1446	66	la	1	l a	
ZAIWA	atb	come	1446	66	le	1	l e	
AKHA	ahk	come	1446	66	la7	1	l a 7	
BIYUE	byo	come	1446	66	la	1	l a	also: l3
MPI	mpz	come	1446	66	lo	1	l o	also: l3
BISU	bzi	come	1446	66	la	1	l a	also: l3
JINO	jiu	come	1446	66	lo	1	l o	
LAHU	lhu	come	1446	66	la	1	l a	
XIDE	iii	come	1446	66	la	1	l a	
DAFANG	yig	come	1446	66	lo	1	l o	also: li
NANJIANG	ywt	come	1446	66	la	1	l a	
LISU	lis	come	1446	66	la	1	l a	
NUSU	nuf	come	1446	66	la	1	l a	
ACHANG	acn	come	1446	66	Z3	2	Z 3	
NAXI	nbf	come	1446	66	l3	2	l 3	also: ch~3
BURMESE	mya	water	948	75	riy	1	r i y	
ZAIWA	atb	water	948	75	iCh~o	1	i Ch~ o	
AKHA	ahk	water	948	75	ity~u	1	i ty~ u	
BIYUE	byo	water	948	75	vch~v7	1	v ch~ v 7	
MPI	mpz	water	948	75	ch~o7	3	ch~ o 7	
BISU	bzi	water	948	75	laN	4	l a N	
JINO	jiu	water	948	75	e Ch~o	1	e _ Ch~ o	
LAHU	lhu	water	948	75	ika7	1	i k a 7	
XIDE	iii	water	948	75	y3	1	y 3	
DAFANG	yig	water	948	75	yi	1	y i	
NANJIANG	ywt	water	948	75	x3	1	x 3	
LISU	lis	water	948	75	ejE	1	e j E	
NUSU	nuf	water	948	75	rigra	1	r i g r a	
ACHANG	acn	water	948	75	ti	4	t i	
NAXI	nbf	water	948	75	dy~i	1	dy~ i	
BURMESE	mya	mountain	639	86	tauN	1	t a u N	
ZAIWA	atb	mountain	639	86	pum	2	p u m	
AKHA	ahk	mountain	639	86	gody~o	3	g o dy~ o	
BIYUE	byo	mountain	639	86	yumo	4	y u m o	
MPI	mpz	mountain	639	86	opy~o	2	o py~ o	
BISU	bzi	mountain	639	86	tasE	5	t a s E	
JINO	jiu	mountain	639	86	x3 th~a	5	x 3 _ th~ a	
LAHU	lhu	mountain	639	86	qh~o	3	qh~ o	
XIDE	iii	mountain	639	86	bo	2	b o	
DAFANG	yig	mountain	639	86	b3	2	b 3	
NANJIANG	ywt	mountain	639	86	kh~uj3	3	kh~ u j 3	
LISU	lis	mountain	639	86	ko	3	k o	
NUSU	nuf	mountain	639	86	5ua	7	5 u a	also: la*
ACHANG	acn	mountain	639	86	pum	2	p u m	
NAXI	nbf	mountain	639	86	ko	3	k o	also: nd~y
BURMESE	mya	sun	1343	72	niy	1	n i y	
ZAIWA	atb	sun	1343	72	pui	2	p u i	
AKHA	ahk	sun	1343	72	naNma	1	n a N m a	
BIYUE	byo	sun	1343	72	5imo	1	5 i m o	
MPI	mpz	sun	1343	72	5iwo	1	5 i w o	
BISU	bzi	sun	1343	72	muNhn3N	1	m u N h n 3 N	
JINO	jiu	sun	1343	72	53 o	1	5 3 _ o	
LAHU	lhu	sun	1343	72	mini	1	m i n i	
XIDE	iii	sun	1343	72	hobu	3	h o b u	
DAFANG	yig	sun	1343	72	ndy$y	1	ndy$ y	
NANJIANG	ywt	sun	1343	72	amux3	4	a m u x 3	
LISU	lis	sun	1343	72	m3mi	1	m 3 m i	
NUSU	nuf	sun	1343	72	5ia	1	5 i a	
ACHANG	acn	sun	1343	72	nimo	1	n i m o	also: pui
NAXI	nbf	sun	1343	72	5ime	1	5 i m e	
BURMESE	mya	star	1430	74	kray	1	k r a y	
ZAIWA	atb	star	1430	74	ky~i	1	ky~ i	
AKHA	ahk	star	1430	74	agy~	1	a gy~	
BIYUE	byo	star	1430	74	mici	1	m i c i	
MPI	mpz	star	1430	74	piki	1	p i k i	
BISU	bzi	star	1430	74	3k3	1	3 k 3	
JINO	jiu	star	1430	74	pu ki	1	p u _ k i	
LAHU	lhu	star	1430	74	m37k3	1	m 3 7 k 3	
XIDE	iii	star	1430	74	mc3	1	m c 3	
DAFANG	yig	star	1430	74	camo	1	c a m o	
NANJIANG	ywt	star	1430	74	ce	1	c e	
LISU	lis	star	1430	74	komaze	1	k o m a z e	
NUSU	nuf	star	1430	74	krelo	1	k r e l o	
