language	iso_code	concept	global_id	local_id	asjp	cogid	tokens	notes
HUASTEC	hva	I	1209	1	in	1	i n	also: nana7
TOJOLABAL	toj	I	1209	1	ken	6	k e n	also: kena
CHUJ	cnm	I	1209	1	in	1	i n	
JACALTEC	jai	I	1209	1	haninan	1	h a n i n a n	
QANJOBAL_SANTA_EULALIA	kjb	I	1209	1	ayinti	2	a y i n t i	
ACATECO_SAN_MIGUEL_ACATAN	knj	I	1209	1	hain	1	h a i n	
IXIL_CHAJUL	ixj	I	1209	1	in	1	i n	
AGUACATEC	agu	I	1209	1	in	1	i n	
TECO_TECTITAN	ttc	I	1209	1	a7in	3	a 7 i n	
MAM_NORTHERN	mam	I	1209	1	ayine	2	a y i n e	
SIPAKAPENSE	qum	I	1209	1	in	1	i n	
SACAPULTECO_SACAPULAS_CENTRO	quv	I	1209	1	ra7in	3	r a 7 i n	
CENTRAL_QUICHE	quc	I	1209	1	in	1	i n	
SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	ckf	I	1209	1	yin	2	y i n	
TZUTUJIL_SAN_JUAN_LA_LAGUNA	tzj	I	1209	1	inin	1	i n i n	
POQOMCHI_WESTERN	pob	I	1209	1	hin	4	h i n	
POCOMAM_EASTERN	poa	I	1209	1	hin	4	h i n	
USPANTEKO	usp	I	1209	1	in	1	i n	
EASTERN_KEKCHI_CAHABON	kek	I	1209	1	ha7in	3	h a 7 i n	
TZELTAL_BACHAJON	tzb	I	1209	1	ho7on	5	h o 7 o n	
CHOL_TUMBALA	ctu	I	1209	1	ho5on	5	h o 5 o n	
CHORTI	caa	I	1209	1	en	1	e n	
ITZAJ	itz	I	1209	1	ten	1	t e n	
MOPAN	mop	I	1209	1	innen	1	i nn e n	
MAYA_YUCATAN	yua	I	1209	1	en	1	e n	
HUASTEC	hva	you	1213	2	it	1	i t	also: ata7
TOJOLABAL	toj	you	1213	2	wen	3	w e n	also: wena
CHUJ	cnm	you	1213	2	aC	1	a C	also: eStik
JACALTEC	jai	you	1213	2	haC	1	h a C	also: heS
QANJOBAL_SANTA_EULALIA	kjb	you	1213	2	aCti	1	a C t i	
ACATECO_SAN_MIGUEL_ACATAN	knj	you	1213	2	haCti7	1	h a C t i 7	
IXIL_CHAJUL	ixj	you	1213	2	ah	4	a h	
AGUACATEC	agu	you	1213	2	aS	5	a S	also: e7u7
TECO_TECTITAN	ttc	you	1213	2	a7iC	6	a 7 i C	
MAM_NORTHERN	mam	you	1213	2	aya	7	a y a	also: aqye
SIPAKAPENSE	qum	you	1213	2	at	1	a t	
SACAPULTECO_SACAPULAS_CENTRO	quv	you	1213	2	ra7at	2	r a 7 a t	
CENTRAL_QUICHE	quc	you	1213	2	at	1	a t	
SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	ckf	you	1213	2	rat	2	r a t	
TZUTUJIL_SAN_JUAN_LA_LAGUNA	tzj	you	1213	2	atet	1	a t e t	
POQOMCHI_WESTERN	pob	you	1213	2	hat	1	h a t	
POCOMAM_EASTERN	poa	you	1213	2	hat	1	h a t	
USPANTEKO	usp	you	1213	2	at	1	a t	
EASTERN_KEKCHI_CAHABON	kek	you	1213	2	ha7at	1	h a 7 a t	
ZINACANTAN_TZOTZIL	tzz	you	1213	2	vot	1	v o t	also: voSuk
TZELTAL_BACHAJON	tzb	you	1213	2	ha7at	1	h a 7 a t	
CHOL_TUMBALA	ctu	you	1213	2	hatet	1	h a t e t	
CHONTAL_TABASCO	chf	you	1213	2	ane	8	a n e	
CHORTI	caa	you	1213	2	et	9	e t	also: noS
ITZAJ	itz	you	1213	2	teC	10	t e C	
MOPAN	mop	you	1213	2	inCeC	11	i n C e C	
MAYA_YUCATAN	yua	you	1213	2	eC	1	e C	also: aw
HUASTEC	hva	we	1212	3	wawa7	6	w a w a 7	
TOJOLABAL	toj	we	1212	3	kent~ik	7	k e nt~ i k	
CHUJ	cnm	we	1212	3	oN	1	o N	
JACALTEC	jai	we	1212	3	haNoNaN	8	h a N o N a N	
QANJOBAL_SANTA_EULALIA	kjb	we	1212	3	aonti	4	a o n t i	also: ayonti
ACATECO_SAN_MIGUEL_ACATAN	knj	we	1212	3	heonti7	4	h e o n t i 7	also: haonti7
IXIL_CHAJUL	ixj	we	1212	3	o7	3	o 7	
AGUACATEC	agu	we	1212	3	o7	3	o 7	
TECO_TECTITAN	ttc	we	1212	3	a7o7	3	a 7 o 7	
MAM_NORTHERN	mam	we	1212	3	qo7	3	q o 7	
SIPAKAPENSE	qum	we	1212	3	ox	1	o x	
SACAPULTECO_SACAPULAS_CENTRO	quv	we	1212	3	ra7ox	2	r a 7 o x	
CENTRAL_QUICHE	quc	we	1212	3	ux	1	u x	
SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	ckf	we	1212	3	rox	2	r o x	
TZUTUJIL_SAN_JUAN_LA_LAGUNA	tzj	we	1212	3	oxox	1	o x o x	
POQOMCHI_WESTERN	pob	we	1212	3	hox	1	h o x	
POCOMAM_EASTERN	poa	we	1212	3	qox	1	q o x	
USPANTEKO	usp	we	1212	3	ox	1	o x	
EASTERN_KEKCHI_CAHABON	kek	we	1212	3	ha7o	1	h a 7 o	
ZINACANTAN_TZOTZIL	tzz	we	1212	3	votikotik	5	v o t i k o t i k	
TZELTAL_BACHAJON	tzb	we	1212	3	ho7otik	5	h o 7 o t i k	also: htukeltik
CHOL_TUMBALA	ctu	we	1212	3	lohon	1	l o h o n	
CHONTAL_TABASCO	chf	we	1212	3	no7onla	1	n o 7 o n l a	
CHORTI	caa	we	1212	3	oN	1	o N	
ITZAJ	itz	we	1212	3	into7on	1	i n t o 7 o n	
MOPAN	mop	we	1212	3	inno7on	1	i nn o 7 o n	
MAYA_YUCATAN	yua	we	1212	3	o7on	1	o 7 o n	
HUASTEC	hva	this	1214	4	aSe7	9	a S e 7	
TOJOLABAL	toj	this	1214	4	iti	1	i t i	
CHUJ	cnm	this	1214	4	xun tik	10	x u n _ t i k	
JACALTEC	jai	this	1214	4	ti7	1	t i 7	
QANJOBAL_SANTA_EULALIA	kjb	this	1214	4	xunti	2	x u n t i	
ACATECO_SAN_MIGUEL_ACATAN	knj	this	1214	4	hunti7	2	h u n t i 7	
IXIL_CHAJUL	ixj	this	1214	4	uwa7	3	u w a 7	
