language	iso_code	concept	global_id	local_id	asjp	cogid	tokens	notes
HMU	hea	I	1209	1	vi	1	v i	
XIANGXI_HMONG	mmr	I	1209	1	we	1	w e	
HMONG_NJUA	hnj	I	1209	1	ko	2	k o	
BUNU	bwx	I	1209	1	Tun	3	T u n	
SHE_CHINA	shx	I	1209	1	vaN	1	v a N	
YAO	ium	I	1209	1	ye	4	y e	
HMU	hea	come	1446	66	lo	1	l o	
XIANGXI_HMONG	mmr	come	1446	66	lo	1	l o	
HMONG_NJUA	hnj	come	1446	66	lo	1	l o	
BUNU	bwx	come	1446	66	lo	1	l o	also: to
SHE_CHINA	shx	come	1446	66	n3	1	n 3	
YAO	ium	come	1446	66	tai	2	t a i	
HMONG_NJUA	hnj	water	948	75	tle	2	t l e	
BUNU	bwx	water	948	75	an	1	a n	
SHE_CHINA	shx	water	948	75	oN	1	o N	
YAO	ium	water	948	75	wam	1	w a m	
HMU	hea	mountain	639	86	qapo	1	q a p o	
XIANGXI_HMONG	mmr	mountain	639	86	qozei	2	q o z e i	
HMONG_NJUA	hnj	mountain	639	86	ton	3	t o n	
BUNU	bwx	mountain	639	86	8au	4	8 a u	
SHE_CHINA	shx	mountain	639	86	ky~e	5	ky~ e	also: ho
YAO	ium	mountain	639	86	tTim	6	t T i m	
HMU	hea	sun	1343	72	nh~E	1	nh~ E	
XIANGXI_HMONG	mmr	sun	1343	72	nh~e	1	nh~ e	
HMONG_NJUA	hnj	sun	1343	72	nh~o	1	nh~ o	
BUNU	bwx	sun	1343	72	minh~on	1	m i nh~ o n	
SHE_CHINA	shx	sun	1343	72	noko	1	n o k o	
YAO	ium	sun	1343	72	punh~oi	1	p u nh~ o i	
HMU	hea	star	1430	74	tEqE	1	t E q E	
XIANGXI_HMONG	mmr	star	1430	74	teteqelh~a	1	t e t e q e lh~ a	
HMONG_NJUA	hnj	star	1430	74	hn~oqo	1	hn~ o q o	
BUNU	bwx	star	1430	74	takuna	1	t a k u n a	
SHE_CHINA	shx	star	1430	74	neitaN	1	n e i t a N	
YAO	ium	star	1430	74	Lei	2	L e i	
HMU	hea	stone	857	77	xi	1	x i	
XIANGXI_HMONG	mmr	stone	857	77	qoz3	1	q o z 3	
HMONG_NJUA	hnj	stone	857	77	ze	1	z e	
BUNU	bwx	stone	857	77	faxe	1	f a x e	
SHE_CHINA	shx	stone	857	77	Nako	1	N a k o	
YAO	ium	stone	857	77	laipy~ei	2	l a i py~ e i	also: bEN
HMU	hea	skin	763	28	qatu	1	q a t u	
XIANGXI_HMONG	mmr	skin	763	28	qoTo	2	q o T o	
HMONG_NJUA	hnj	skin	763	28	teu	1	t e u	
BUNU	bwx	skin	763	28	katlau	3	k a t l a u	
SHE_CHINA	shx	skin	763	28	kh~3	3	kh~ 3	
YAO	ium	skin	763	28	dop	4	d o p	
HMU	hea	fire	221	82	tu	1	t u	
XIANGXI_HMONG	mmr	fire	221	82	py~it3	1	py~ i t 3	
HMONG_NJUA	hnj	fire	221	82	teu	1	t e u	
BUNU	bwx	fire	221	82	katu	1	k a t u	
SHE_CHINA	shx	fire	221	82	th~o	1	th~ o	
YAO	ium	fire	221	82	tou	1	t o u	
HMU	hea	fish	227	19	zE	1	z E	
XIANGXI_HMONG	mmr	fish	227	19	tamz3	1	t a m z 3	
HMONG_NJUA	hnj	fish	227	19	nc~e	1	nc~ e	
BUNU	bwx	fish	227	19	nc~e	1	nc~ e	
SHE_CHINA	shx	fish	227	19	py~a	1	py~ a	
YAO	ium	fish	227	19	by~au	1	by~ a u	
HMU	hea	dog	2009	21	lh~a	1	lh~ a	
XIANGXI_HMONG	mmr	dog	2009	21	taqw~3	1	t a qw~ 3	
HMONG_NJUA	hnj	dog	2009	21	tle	1	t l e	
BUNU	bwx	dog	2009	21	tle	1	t l e	
SHE_CHINA	shx	dog	2009	21	ky~a	1	ky~ a	
YAO	ium	dog	2009	21	tTu	1	t T u	
HMU	hea	louse	1392	22	kantE	1	k a n t E	
XIANGXI_HMONG	mmr	louse	1392	22	tate	1	t a t e	
HMONG_NJUA	hnj	louse	1392	22	to	1	t o	
BUNU	bwx	louse	1392	22	katuna	1	k a t u n a	
SHE_CHINA	shx	louse	1392	22	taN	1	t a N	
YAO	ium	louse	1392	22	tam	1	t a m	
HMU	hea	tree	906	23	t3	1	t 3	
XIANGXI_HMONG	mmr	tree	906	23	qont~u	1	q o nt~ u	
HMONG_NJUA	hnj	tree	906	23	nt~on	1	nt~ o n	
BUNU	bwx	tree	906	23	nt~an	1	nt~ a n	
SHE_CHINA	shx	tree	906	23	toN	1	t o N	
YAO	ium	tree	906	23	dy~aN	1	dy~ a N	
HMU	hea	leaf	628	25	nu	1	n u	
