language	iso_code	concept	global_id	local_id	asjp	cogid	tokens	notes
NORTH_HIGHLAND_MIXE	mto	I	1209	1	3c	1	3 c	
SOUTH_HIGHLAND_MIXE	mxp	I	1209	1	3c	1	3 c	
LOWLAND_MIXE	mco	I	1209	1	3C	1	3 C	
SAYULA_POPOLUCA	pos	I	1209	1	3c	1	3 c	
OLUTA_POPOLUCA	plo	I	1209	1	3s	1	3 s	
TEXISTEPEC_ZOQUE	poq	I	1209	1	3c37	1	3 c 3 7	
SOTEAPAN_ZOQUE	poi	I	1209	1	3C	1	3 C	
MARIA_CHIMALAPA	zoh	I	1209	1	3cci7	1	3 cc i 7	
MIGUEL_CHIMALAPA	zoh	I	1209	1	d3S	2	d 3 S	
CHIAPAS_ZOQUE	zoc	I	1209	1	3h	1	3 h	
NORTH_HIGHLAND_MIXE	mto	thou	1215	2	mic	1	m i c	
SOUTH_HIGHLAND_MIXE	mxp	thou	1215	2	mec	1	m e c	
LOWLAND_MIXE	mco	thou	1215	2	miC	1	m i C	
SAYULA_POPOLUCA	pos	thou	1215	2	mi	1	m i	also: miC
OLUTA_POPOLUCA	plo	thou	1215	2	mis	1	m i s	
TEXISTEPEC_ZOQUE	poq	thou	1215	2	biC	1	b i C	
SOTEAPAN_ZOQUE	poi	thou	1215	2	miC	1	m i C	
MARIA_CHIMALAPA	zoh	thou	1215	2	micci7	1	m i cc i 7	
MIGUEL_CHIMALAPA	zoh	thou	1215	2	miS	1	m i S	
CHIAPAS_ZOQUE	zoc	thou	1215	2	mih	1	m i h	
NORTH_HIGHLAND_MIXE	mto	we	1212	3	3c	1	3 c	
SOUTH_HIGHLAND_MIXE	mxp	we	1212	3	3c	1	3 c	
LOWLAND_MIXE	mco	we	1212	3	3C aht	1	3 C _ a h t	
SAYULA_POPOLUCA	pos	we	1212	3	3hcat	1	3 h c a t	
OLUTA_POPOLUCA	plo	we	1212	3	3catek	1	3 c a t e k	
TEXISTEPEC_ZOQUE	poq	we	1212	3	3c ta7	1	3 c _ t a 7	
MARIA_CHIMALAPA	zoh	we	1212	3	newiny~nen	2	n e w i ny~ n e n	
MIGUEL_CHIMALAPA	zoh	we	1212	3	neywin	2	n e y w i n	
CHIAPAS_ZOQUE	zoc	we	1212	3	t3h	3	t 3 h	
NORTH_HIGHLAND_MIXE	mto	this	1214	4	y37e	1	y 3 7 e	
