language	iso_code	concept	global_id	local_id	asjp	cogid	tokens	notes
JEH	jeh	I	1209	1	aut	1	a u t	
BAHNAR	bdq	I	1209	1	i5	2	i 5	
CHRAU	crw	I	1209	1	a5	2	a 5	also: i5
VIETNAMESE	vie	I	1209	1	toi	3	t o i	
MON	mnw	I	1209	1	ay	2	a y	
NYAKUR	cbn	I	1209	1	e5	2	e 5	
KHMER	khm	I	1209	1	kh~3nom	4	kh~ 3 n o m	
SEMAI	sea	I	1209	1	E5	2	E 5	
WA	wbm	I	1209	1	37	1	3 7	
KSINMUL	puo	I	1209	1	a5	2	a 5	
MUNDARI	unr	I	1209	1	ain	2	a i n	
JEH	jeh	you	1213	2	mi	1	m i	
CHRAU	crw	you	1213	2	mai	1	m a i	also: ai
VIETNAMESE	vie	you	1213	2	may	1	m a y	also: ti
RUC	scb	you	1213	2	mi	1	m i	
MON	mnw	you	1213	2	beh	3	b e h	
NYAKUR	cbn	you	1213	2	ph~eh	3	ph~ e h	
KHMER	khm	you	1213	2	EN	4	E N	
KUI_THAILAND	kdt	you	1213	2	muaN	1	m u a N	
SEMAI	sea	you	1213	2	hE7	2	h E 7	
WA	wbm	you	1213	2	mai7	1	m a i 7	
DEANG	pce	you	1213	2	moi	1	m o i	
KHMU	kjg	you	1213	2	me	1	m e	
KSINMUL	puo	you	1213	2	mih	1	m i h	
KHASI	kha	you	1213	2	me	1	m e	
MUNDARI	unr	you	1213	2	am	1	a m	
JEH	jeh	we	1212	3	yuan	1	y u a n	
BAHNAR	bdq	we	1212	3	5on	1	5 o n	
CHRAU	crw	we	1212	3	von	10	v o n	also: kh~ana5
VIETNAMESE	vie	we	1212	3	ta	2	t a	also: mi5
RUC	scb	we	1212	3	Cupa	3	C u p a	
MON	mnw	we	1212	3	puiy	4	p u i y	
NYAKUR	cbn	we	1212	3	pEy	4	p E y	
KHMER	khm	we	1212	3	ya3N	5	y a 3 N	
KUI_THAILAND	kdt	we	1212	3	mh~ai	6	mh~ a i	
SEMAI	sea	we	1212	3	Zi7	7	Z i 7	
WA	wbm	we	1212	3	yi7	7	y i 7	
DEANG	pce	we	1212	3	y3i	7	y 3 i	
KSINMUL	puo	we	1212	3	zi	7	z i	
MUNDARI	unr	we	1212	3	ale	9	a l e	
JEH	jeh	this	1214	4	mou	1	m o u	
BAHNAR	bdq	this	1214	4	nou	1	n o u	
RUC	scb	this	1214	4	ni	3	n i	
MON	mnw	this	1214	4	na7	4	n a 7	
NYAKUR	cbn	this	1214	4	o7	5	o 7	
KHMER	khm	this	1214	4	n3h	3	n 3 h	
SEMAI	sea	this	1214	4	adEh	3	a d E h	
WA	wbm	this	1214	4	in	7	i n	
KHMU	kjg	this	1214	4	k3 ki	8	k 3 _ k i	
KHASI	kha	this	1214	4	ne	3	n e	
MUNDARI	unr	this	1214	4	ni i7	3	n i _ i 7	
BAHNAR	bdq	that	78	5	ni	1	n i	
RUC	scb	that	78	5	he	3	h e	
MON	mnw	that	78	5	te7	4	t e 7	
NYAKUR	cbn	that	78	5	te7	4	t e 7	
KHMER	khm	that	78	5	noh	5	n o h	
KUI_THAILAND	kdt	that	78	5	k3i	2	k 3 i	
SEMAI	sea	that	78	5	aZeh	6	a Z e h	
WA	wbm	that	78	5	an	7	a n	
DEANG	pce	that	78	5	d3	8	d 3	
KHMU	kjg	that	78	5	k3 ni	1	k 3 _ n i	
KSINMUL	puo	that	78	5	p37ow	7	p 3 7 o w	
KHASI	kha	that	78	5	ba	9	b a	
MUNDARI	unr	that	78	5	han i7	10	h a n _ i 7	
JEH	jeh	who	1235	6	bau	1	b a u	
BAHNAR	bdq	who	1235	6	bu	1	b u	
RUC	scb	who	1235	6	ay	2	a y	
NYAKUR	cbn	who	1235	6	35ah	3	3 5 a h	
KHMER	khm	who	1235	6	kh~3nao	4	kh~ 3 n a o	
KUI_THAILAND	kdt	who	1235	6	naw	4	n a w	
SEMAI	sea	who	1235	6	bo7	1	b o 7	
WA	wbm	who	1235	6	mo7	6	m o 7	
DEANG	pce	who	1235	6	se	7	s e	
KHMU	kjg	who	1235	6	m3	6	m 3	
KSINMUL	puo	who	1235	6	noh	3	n o h	
